"id","ingredient"
66102450266,"1/2 cup butter flavored shortening"
66102450266,"1 cup packed light brown sugar"
66102450266,"1/2 cup white sugar"
66102450266,"2 eggs"
66102450266,"1 teaspoon vanilla extract"
66102450266,"1 1/2 cups all-purpose flour"
66102450266,"1 teaspoon baking soda"
66102450266,"1 teaspoon ground cinnamon"
66102450266,"1/2 teaspoon ground cloves"
66102450266,"1/2 teaspoon salt"
66102450266,"3 cups rolled oats"
66102450266,"1 cup raisins"
66102450266,"1 cup butter, melted"
66102450266,"3 cups white sugar"
66102450266,"1 tablespoon vanilla extract"
66102450266,"4 eggs"
66102450266,"1 1/2 cups all-purpose flour"
66102450266,"1 cup unsweetened cocoa powder"
66102450266,"1 teaspoon salt"
66102450266,"1 cup semisweet chocolate chips"
66102450266,"1 cup butter, softened"
66102450266,"1 1/2 cups white sugar"
66102450266,"2 eggs"
66102450266,"2 teaspoons vanilla extract"
66102450266,"2 cups all-purpose flour"
66102450266,"2/3 cup cocoa powder"
66102450266,"3/4 teaspoon baking soda"
66102450266,"1/4 teaspoon salt"
66102450266,"2 cups semisweet chocolate chips"
66102450266,"1/2 cup chopped walnuts (optional)"
66102450266,"1 cup butter, softened"
66102450266,"1 cup packed light brown sugar"
66102450266,"1/2 cup white sugar"
66102450266,"2 eggs"
66102450266,"2 teaspoons vanilla extract"
66102450266,"1 1/4 cups all-purpose flour"
66102450266,"1/2 teaspoon baking soda"
66102450266,"1 teaspoon salt"
66102450266,"3 cups quick-cooking oats"
66102450266,"1 cup chopped walnuts"
66102450266,"1 cup semisweet chocolate chips"
66102450266,"1/2 cup white sugar"
66102450266,"2 tablespoons butter"
66102450266,"2 tablespoons water"
66102450266,"1 1/2 cups semisweet chocolate chips"
66102450266,"2 eggs"
66102450266,"1/2 teaspoon vanilla extract"
66102450266,"2/3 cup all-purpose flour"
66102450266,"1/4 teaspoon baking soda"
66102450266,"1/2 teaspoon salt"
66102450266,"1 (1 pound) sweet potato"
66102450266,"1/2 cup butter, softened"
66102450266,"1 cup white sugar"
66102450266,"1/2 cup milk"
66102450266,"2 eggs"
66102450266,"1/2 teaspoon ground nutmeg"
66102450266,"1/2 teaspoon ground cinnamon"
66102450266,"1 teaspoon vanilla extract"
66102450266,"1 (9 inch) unbaked pie crust"
66102450266,"1 1/4 cups all-purpose flour"
66102450266,"1/2 teaspoon baking soda"
66102450266,"1/4 teaspoon salt"
66102450266,"1/2 cup butter"
66102450266,"1/2 cup packed brown sugar"
66102450266,"1/2 cup white sugar"
66102450266,"1 egg"
66102450266,"1/2 teaspoon vanilla extract"
66102450266,"1 1/3 cups flaked coconut"
66102450266,"1 3/4 cups all-purpose flour"
66102450266,"2 cups white sugar"
66102450266,"3/4 cup unsweetened cocoa powder"
66102450266,"2 teaspoons baking soda"
66102450266,"1 teaspoon baking powder"
66102450266,"1 teaspoon salt"
66102450266,"2 eggs"
66102450266,"1 cup strong brewed coffee"
66102450266,"1 cup buttermilk"
66102450266,"1/2 cup vegetable oil"
66102450266,"1 teaspoon vanilla extract"
66102450266,"6 slices day-old bread"
66102450266,"2 tablespoons butter, melted"
66102450266,"1/2 cup raisins (optional)"
